Ticker,Number of Events,Events / Year,Positive Events,Negative Events,Positive %,Negative %,Average Interval,Median Interval,Minimum Interval,Maximum Interval,Average Threshold
T,2631,68.50712957222567,1346,1285,51.15925503610794,48.84074496389206,3.6699619771863117,3.0,1.0,20.0,0.02008689179841474
TAP,2503,65.17420954742715,1261,1242,50.37954454654414,49.620455453455854,3.8577138289368507,3.0,1.0,26.0,0.022481293908526684
TDG,1958,66.55192878338279,1109,849,56.63942798774259,43.36057201225741,3.7782319877363313,3.0,1.0,21.0,0.02532838728460373
TDY,2612,68.00537245583222,1425,1187,54.55589586523737,45.44410413476264,3.6970509383378016,3.0,1.0,21.0,0.027450467723472073
TECH,2627,68.48081100651702,1376,1251,52.37913970308337,47.62086029691663,3.6713632901751714,3.0,1.0,22.0,0.027156953146202742
TEL,1920,69.59723820483313,1019,901,53.07291666666667,46.927083333333336,3.6128191766545075,3.0,1.0,20.0,0.024239834268196026
TER,2673,69.59355305300134,1388,1285,51.92667414889637,48.073325851103625,3.6126497005988023,3.0,1.0,23.0,0.039435496196067996
TFC,2677,69.69769604297964,1378,1299,51.47553231228987,48.52446768771012,3.6072496263079223,3.0,1.0,22.0,0.02436359192272038
TGT,2560,66.64462809917356,1322,1238,51.64062499999999,48.359375,3.7725674091441967,3.0,1.0,21.0,0.025739030657980326
TJX,2683,69.85391052794711,1441,1242,53.70853522176668,46.29146477823332,3.599179716629381,3.0,1.0,20.0,0.022360915506538483
TKO,2481,64.5880165289256,1294,1187,52.15638855300282,47.84361144699718,3.892741935483871,3.0,1.0,31.0,0.030978791534564877
TMO,2649,69.01147524035976,1437,1212,54.24688561721405,45.75311438278596,3.6431268882175227,3.0,1.0,26.0,0.022733299531662504
TMUS,1806,64.88622754491017,961,845,53.21151716500554,46.78848283499446,3.8753462603878117,3.0,1.0,23.0,0.03002748575532182
TPL,2585,67.29545454545455,1388,1197,53.6943907156673,46.30560928433269,3.736068111455108,3.0,1.0,20.0,0.030632360085564154
TPR,2482,66.51749441667553,1299,1183,52.33682514101531,47.66317485898469,3.7795243853284965,3.0,1.0,20.0,0.034860624100004366
TRGP,1583,70.16992084432718,890,693,56.222362602653185,43.77763739734681,3.584070796460177,3.0,1.0,20.0,0.032489917372092385
TRMB,2541,66.19787036079809,1325,1216,52.144824872097594,47.8551751279024,3.798031496062992,3.0,1.0,29.0,0.03438308986765685
TROW,2638,68.68230189069118,1394,1244,52.84306292645944,47.15693707354056,3.6605991657186197,3.0,1.0,22.0,0.026500320791809626
TRV,2572,66.96394255604918,1374,1198,53.421461897356146,46.578538102643854,3.754570206145469,3.0,1.0,23.0,0.020301849431076862
TSCO,2599,67.67389956602604,1394,1205,53.63601385148134,46.36398614851866,3.7151655119322555,3.0,1.0,27.0,0.02890367611073117
TSLA,1603,69.05230769230769,868,735,54.14847161572053,45.851528384279476,3.6416978776529336,3.0,1.0,18.0,0.04675365961664079
TSN,2561,66.6706611570248,1335,1226,52.128074970714565,47.871925029285435,3.77109375,3.0,1.0,26.0,0.026232407570016488
